NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
32GA00,D,LOC,In Service voor ZorgOnderwijs B.V.,  ,,,,Active,Higher Education Branch,-0.0,2020s,,2025-02-01 to Present,2025-02-01,,,
32FW00,D,LOC,Stichting Heads Academy,Achter de Broederen 9.0 ,7411PS,DEVENTER,Overijssel,Active,Higher Education Branch,0.1,2020s,,2024-12-01 to Present,2024-12-01,,52.2547979,6.157085299999999
01AA85,D,LOC,Landstede MBO,Marsweg 3.0 ,8013PD,ZWOLLE,Overijssel,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,51.9353962,4.562234399999999
05EA17,D,LOC,Locatie Maasbracht,Havenstraat 12.0 ,6051CR,MAASBRACHT,Limburg,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,51.1468598,5.8863094
25LJ14,D,LOC,Brainport Human Campus,Vlamovenweg 2.0 ,5708JV,HELMOND,Noord-Brabant,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,51.4767091,5.6249145
25PT14,D,LOC,Talland College,Cypressehout 97.0 ,1507EK,ZAANDAM,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.4370607,4.8075844
25PT15,D,LOC,Talland College,Nijverheidstraat 2.0 ,1135GE,EDAM,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.513496,5.043809599999999
25PT16,D,LOC,Talland College,Jufferstraat 3.0 ,1508GE,ZAANDAM,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.4593447,4.8166316
25PT17,D,LOC,Talland College,Wezelstraat 7.0 b,1541LZ,KOOG AAN DE ZAAN,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.4672797,4.8016662
25PT18,D,LOC,Talland College,Stationsplein 129.0 ,1703WE,HEERHUGOWAARD,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.6676375,4.8196707
25PT19,D,LOC,Talland College,W.M. Dudokweg 66.0 ,1703DC,HEERHUGOWAARD,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.66609649999999,4.8181819
25PT20,D,LOC,Talland College,Drechterwaard 10.0 ,1824EX,ALKMAAR,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.6406618,4.753172699999999
25PT21,D,LOC,Talland College,Koelmalaan 350.0 ,1812PS,ALKMAAR,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.617233,4.7666495
25PT22,D,LOC,Talland College,Jonkerplantsoen 2.0 C,1508EE,ZAANDAM,Noord-Holland,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.4600956,4.816611099999999
25PW48,D,LOC,Stg. Regionaal Opleid. Centrum Drenthe,Huizingsbrinkweg 9.0 ,7812BK,EMMEN,Drenthe,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.7724986,6.887332199999999
25PW49,D,LOC,Drenthe College Terra,Hereweg 99.0 ,9721AA,GRONINGEN,Groningen,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,53.203242,6.5740051
25PW50,D,LOC,Drenthe College Terra,Werkhorst 56.0 ,7944AV,MEPPEL,Drenthe,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.6818476,6.1910357
25PW59,D,LOC,Drenthe College Terra,Burg. J.G. Legroweg 33.0 ,9761TA,EELDE,Drenthe,Active,Higher Education Branch,0.5,2020s,,2024-08-01 to Present,2024-08-01,,53.1397822,6.5696176
25PX54,D,LOC,Regionaal Opleidingen Centrum Nova College,De Parelvisserslaan 1.0 ,1183RH,AMSTELVEEN,Noord-Holland,Active,Higher Education Branch,0.8,2020s,,2024-04-01 to Present,2024-04-01,,52.30238989999999,4.8730702
27GZ65,D,LOC,ROC Mondriaan,Europa 1.0 ,2672ZX,NAALDWIJK,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.1238004,5.2341856
27GZ66,D,LOC,ROC Mondriaan,Meppelweg 339.0 ,2544AH,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0531426,4.2685906
27GZ67,D,LOC,ROC Mondriaan,Waldorpstraat 120.0 ,2521CD,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0678765,4.3214124
27GZ68,D,LOC,ROC Mondriaan,Theresiastraat 8.0 ,2593AN,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.08381379999999,4.3292964
27GZ69,D,LOC,ROC Mondriaan,Rotterdamseweg 141.0 ,2628AL,DELFT,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0001952,4.3689374
27GZ70,D,LOC,ROC Mondriaan,Rijnweg 10.0 ,2627BK,DELFT,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,51.99659219999999,4.363331899999999
27GZ71,D,LOC,ROC Mondriaan,Mr P D Fortuynwg 22.0 ,2533SR,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0557591,4.290556599999999
27GZ72,D,LOC,ROC Mondriaan,Neckar 1.0 ,2491BE,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.1238004,5.2341856
27GZ73,D,LOC,ROC Mondriaan,Vaz Diasdreef 5.0 ,2492JL,'S-GRAVENHAGE,Zuid-Holland,Active,Higher Education Branch,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0675031,4.3983663
32DF,U,HBOS,International University of Applied Sciences  Amsterdam,Jan Rebelstraat 8.0 ,1069CB,AMSTERDAM,Noord-Holland,Active,University of Applied Sciences,1.0,2020s,,2024-02-01 to Present,2024-02-01,,52.0876728,4.8850649
25MB47,D,LOC,Summa Fashion,Professor Dr Dorgelolaan 2.0 ,5611BA,EINDHOVEN,Noord-Brabant,Active,Higher Education Branch,1.1,2020s,,2024-01-01 to Present,2024-01-01,,51.44455689999999,5.4824442
25PX53,D,LOC,Regionaal Opleidingen Centrum Nova College,Stadsplein 100.0 A,1181ZM,AMSTELVEEN,Noord-Holland,Active,Higher Education Branch,1.1,2020s,,2024-01-01 to Present,2024-01-01,,52.302778,4.8586982
32CZ,U,HBOS,Stichting BV/BmS opleidingen,Tielweg 3.0 ,2803PK,GOUDA,Zuid-Holland,Active,University of Applied Sciences,1.1,2020s,,2023-12-01 to Present,2023-12-01,,51.9353962,4.562234399999999
01AA83,D,LOC,mbo Menso Alting Zwolle,Rondweg 2.0 ,8064PA,ZWARTSLUIS,Overijssel,Active,Higher Education Branch,1.5,2020s,,2023-08-01 to Present,2023-08-01,,51.8938802,4.5263202
