NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
00TO04,D,VST,Talita Koemi,Vuurdoornstraat 19.0 ,6543TX,NIJMEGEN,Gelderland,Active,Primary Branch Location,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
00TO05,D,VST,Talita Koemi,Tapirstraat 2.0 ,6532AL,NIJMEGEN,Gelderland,Active,Primary Branch Location,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
32ET,U,BAS,'t Schrijverke,Graspieper 10.0 ,5731SP,MIERLO,Noord-Brabant,Active,Regular Primary School,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
32FR00,D,VST,German European School Singapore,  ,,,,Active,Primary Branch Location,0.3,2020s,,2024-10-01 to Present,2024-10-01,
32FX,U,BAS,Futurum,Markerkant 12.0 1-25,1314AJ,ALMERE,Flevoland,Active,Regular Primary School,0.4,2020s,,2024-09-01 to Present,2024-09-01,
00NT11,D,VST,De Schatkist,Velddreef 322.0 ,2727CV,ZOETERMEER,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
00OJ01,D,VST,Klimopschool VSO,Korczakstraat 1.0 ,4335ER,MIDDELBURG,Zeeland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
00RT07,D,VST,Sonnewijser route Arbeid Tiel,Adamshof 14.0 ,4001DB,TIEL,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02EJ05,D,VST,De Leidse Buitenschool Campus Lisse,Ruishornlaan 29.0 ,2162VW,LISSE,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02EJ06,D,VST,De Leidse Buitenschool,Van Lierestraat 8.0 ,2221SC,KATWIJK ZH,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02PQ17,D,VST,Suringarcollege,Mettrayweg 53.0 ,7211LC,EEFDE,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RF03,D,VST,Berg en Bosch College Houten,Handboog 4.0 ,3994AD,HOUTEN,Utrecht,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RO05,D,VST,Foooocus Beuningen,Julianaplein 21.0 ,6641CS,BEUNINGEN GLD,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RV03,D,VST,De Wingerd,Havikshorst 23.0 ,5431LZ,CUIJK,Noord-Brabant,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RV04,D,VST,Foooocus Venray,Hoenderstraat 4.0 6,5801CK,VENRAY,Limburg,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
07DB02,D,VST,Daltonschool de Meiboom,Meijhorst 2958.0 ,6537HD,NIJMEGEN,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
