NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
32CY,U,VOS,Al Amana,Noordse Parklaan 4.0 ,3513GV,UTRECHT,Utrecht,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.1034528,5.1098805
32DA,U,VOS,Het Martin Buber,Marktstraat 6.0 ,6461CX,KERKRADE,Limburg,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,50.8648242,6.0629405
32DC,U,VOS,"Aida College voor rmavo, havo en vwo",Veluweplein 1.0 ,2571GA,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.0602101,4.292871799999999
32DE,U,VOS,"Avicenna College Den Haag voor mavo, havo en vwo",Zuidlarenstraat 6.0 ,2545VX,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.0508159,4.2684375
32DR,U,VOS,Focus College Amersfoort,Softwareweg 7.0 ,3821BN,AMERSFOORT,Utrecht,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,52.1724197,5.4129347
32DZ,U,VOS,WOW VO voor havo en vwo,Duivenpad 7.0 ,3055VE,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,51.9646936,4.4973505
32EA,U,VOS,Montessori College Maastricht voor Atheneum en Gymnasium,Wilhelminasingel 80.0 ,6221BL,MAASTRICHT,Limburg,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,50.8489778,5.7019741
32ER,U,PROS,Landstede PRO,Blaloweg 1.0 ,8041AH,ZWOLLE,Overijssel,Closed,Practical Education,0.2,2020s,2020s,2024-06-01 to 2024-08-01,2024-06-01,2024-08-01,52.516811,6.080319299999999
32DL,U,VOS,VO de Smaragd,Groeneweg 9.0 ,3059LC,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.9858304,4.597597899999999
32DM,U,VOS,Libertà College,Aardrijk 47.0 ,4824BS,BREDA,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.6030868,4.745591999999999
32DM,U,VOS,Libertà College,Parklaan 2.0 ,4873ER,ETTEN-LEUR,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.56848840000001,4.6424067
32DT,U,VOS,Voorhof,Guido Gezellelaan 86.0 ,2624LA,DELFT,Zuid-Holland,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.98922779999999,4.355511799999999
32EB,U,VOS,Avonturis Roosendaal,Lavadijk 185.0 ,4706KZ,ROOSENDAAL,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.52425299999999,4.498201
32EF,U,VOS,Wondering,Udenseweg 2.0 ,5405PA,UDEN,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,51.651265,5.6407386
31XT,U,VOS,Duinzigt Havo,Wijttenbachweg 23.0 ,2341VX,OEGSTGEEST,Zuid-Holland,Active,Regular Secondary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,,52.1838002,4.4688779
32AJ,U,VOS,Stichting voor Voortgezet Vrijeschool Onderwijs Delft Mercurius,Molenstraat 22.0 ,2611KA,DELFT,Zuid-Holland,Active,Regular Secondary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,,52.0158146,4.354965
32BK,U,VOS,De Natuurschuur,Waardpolderhoofdweg 1.0 ,1766EB,WIERINGERWAARD,Noord-Holland,Closed,Regular Secondary School,1.1,2020s,2020s,2023-01-01 to 2024-02-01,2023-01-01,2024-02-01,52.8254037,4.9012101
32CH,U,VOS,Grond - school voor leven,Westerborkerstraat 16.0 ,9442PN,ELP,Drenthe,Active,Regular Secondary School,2.1,2020s,,2023-01-01 to Present,2023-01-01,,52.8783358,6.6444584
32BE,U,VOS,Polderwijs,Ring 11.0 ,8308AL,NAGELE,Flevoland,Active,Regular Secondary School,2.2,2020s,,2022-11-01 to Present,2022-11-01,,53.10511140000001,6.1212635
31ZM,U,VOS,Labyrint,Lageweg 45.0 A,9479PA,NOORDLAREN,Groningen,Active,Regular Secondary School,2.4,2020s,,2022-08-29 to Present,2022-08-29,,53.12124790000001,6.6679954
32CX,U,VOS,The Fountain International Christian School,Hippolytuslaan 2.0 ,9991AK,MIDDELSTUM,Groningen,Active,Regular Secondary School,2.4,2020s,,2022-08-12 to Present,2022-08-12,,53.3476329,6.6471299
31TK,U,VOS,Graaf Engelbrecht voor havo en vwo,Ganzerik 3.0 ,4822RK,BREDA,Noord-Brabant,Active,Regular Secondary School,2.5,2020s,,2022-08-01 to Present,2022-08-01,,51.61647139999999,4.7311564
31ZG,U,VOS,Theodore International Startup Academy,Lorentzkade 15.0 a,2313GB,LEIDEN,Zuid-Holland,Active,Regular Secondary School,2.5,2020s,,2022-08-01 to Present,2022-08-01,,52.1512557,4.4964454
31ZW,U,VOS,Sanyu,Korte Verspronckweg 7.0 -9,2023BS,HAARLEM,Noord-Holland,Active,Regular Secondary School,2.8,2020s,,2022-04-01 to Present,2022-04-01,,52.3897247,4.623511199999999
31WT,U,VOS,Novi Mundi,Scherpenzeelseweg 90.0 ,3956KH,LEERSUM,Utrecht,Closed,Regular Secondary School,2.8,2020s,2020s,2022-03-07 to 2025-01-01,2022-03-07,2025-01-01,52.0191379,5.460952499999999
31XH,U,VOS,School de Brink,Leerlooierstraat 57.0 ,5345PK,OSS,Noord-Brabant,Active,Regular Secondary School,2.9,2020s,,2022-03-07 to Present,2022-03-07,,51.7639104,5.4942645
31XJ,U,VOS,IBBO Eldariet,Dokter van Kleefstraat 27.0 ,6217JJ,MAASTRICHT,Limburg,Active,Regular Secondary School,3.0,2020s,,2022-02-07 to Present,2022-02-07,,50.85114129999999,5.6703126
31XJ,U,VOS,IBBO Eldariet,Aureliushof 160.0 a,6215SW,MAASTRICHT,Limburg,Active,Regular Secondary School,3.0,2020s,,2022-02-07 to Present,2022-02-07,,50.8408121,5.6492198
31WX,U,VOS,IBBO Harlekijnkwarts,Kerkplein 1.0 ,6075HA,HERKENBOSCH,Limburg,Closed,Regular Secondary School,1.0,2020s,2020s,2021-09-06 to 2022-09-01,2021-09-06,2022-09-01,51.153665,6.0631284
31TZ,U,VOS,De Brug,Zwaluwplein 18.0 ,2771SC,BOSKOOP,Zuid-Holland,Active,Regular Secondary School,3.4,2020s,,2021-09-01 to Present,2021-09-01,,52.0667191,4.6389927
31UT,U,VOS,IBBO Beryl,Strypsedijk 48.0 ,3234KS,TINTE,Zuid-Holland,Active,Regular Secondary School,3.4,2020s,,2021-08-30 to Present,2021-08-30,,51.881279,4.132792
31RY,U,VOS,Zuider Gymnasium,Groene Hilledijk 315.0 ,3075EA,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,51.88457940000001,4.503405799999999
31RY,U,VOS,Zuider Gymnasium,Grift 30.0 ,3075SB,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,51.8826755,4.508814099999999
31RY,U,VOS,Zuider Gymnasium,Groene Hilledijk 493.0 ,3075EA,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,51.8840205,4.5045186
31TG,U,VOS,"Openbaar Buurtcollege Maas en Peel voor mavo, havo en vwo",Piushof 87.0 ,5981VW,PANNINGEN,Limburg,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,51.323263,5.9780226
31ZD,U,VOS,International French School,Anthonie van Dijckstraat 1.0 ,1077ME,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,52.3482421,4.8755145
