NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
01GL,U,VOS,Rk Sgm Sophianum Voor Ath Havo Mavo Vbo Ivbo,Landsraderweg 3.0 ,6271nt,3,50.81061680000001,5.8911905,6271NT,GULPEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
27VG,U,VOS,Porta Mosana College,Oude Molenweg 130.0 ,6228xw,130,50.8342398,5.7330005,6228XW,MAASTRICHT,Limburg,Active,Regular Secondary School,20.5,2000s,,2004-08-01 to Present,2004-08-01,,H
30RW,U,VOS,5en5is11,Veldstraat 20.0 ,6227sz,20,50.8357312,5.729539099999999,6227SZ,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,H
14TZ,U,VOS,Lagere Technische School Sint Joseph,Pater Kustersweg 6.0 ,6267nl,6,50.8379663,5.745318,6267NL,CADIER EN KEER,Limburg,Closed,Regular Secondary School,104.6,1900s,2000s,1900-01-01 to 2004-08-01,1900-01-01,2004-08-01,H
30RW,U,VOS,Nova Vita (voorheen5en5is11),Oude Kerkstraat 10.0 a,6227sr,10,50.8400482,5.7267719,6227SR,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,H
31XJ,U,VOS,IBBO Eldariet,Aureliushof 160.0 a,6215sw,160,50.8408121,5.6492198,6215SW,MAASTRICHT,Limburg,Active,Regular Secondary School,2.9,2020s,,2022-02-07 to Present,2022-02-07,,A
27ZJ,U,VOS,Bonnefantencollege,Tongerseweg 135.0 ,6213gb,135,50.84186709999999,5.6711652,6213GB,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
11EE,U,VOS,Euro College,Nijverheidsweg 25.0 ,6227al,25,50.8419064,5.720971,6227AL,MAASTRICHT,Limburg,Closed,Regular Secondary School,25.6,1970s,2000s,1979-01-01 to 2004-08-01,1979-01-01,2004-08-01,H
20IS06,D,VSTZ,Stella Maris College voor Lyc Havo Mavo Vbo Lwoo,Anjelierenstraat 40.0 ,6214sw,40,50.8441635,5.672865,6214SW,MAASTRICHT,Limburg,Closed,Secondary Branch Location,19.0,2000s,2020s,2002-08-01 to 2021-08-01,2002-08-01,2021-08-01,H
25KY,U,VOS,Vbo Mavo Maastricht Rk Sgm V Mavo Vbo Ivbo,Juliana van Stolberglaan 51.0 ,6224jw,51,50.8454601,5.7170222,6224JW,MAASTRICHT,Limburg,Closed,Regular Secondary School,9.0,1990s,2000s,1996-08-01 to 2005-08-01,1996-08-01,2005-08-01,H
25KY,U,VOS,Vbo Mavo Maastricht Rk Sgm V Mavo Vbo Ivbo,Adelbert van Scharnlaan 200.0 ,6224jx,200,50.8457936,5.717887,6224JX,MAASTRICHT,Limburg,Closed,Regular Secondary School,9.0,1990s,2000s,1996-08-01 to 2005-08-01,1996-08-01,2005-08-01,H
20IS06,D,VSTZ,Stella Maris College voor Lyc Havo Mavo Vbo Lwoo,Hunnenweg 4.0 ,6224jp,4,50.8477468,5.7132244,6224JP,MAASTRICHT,Limburg,Closed,Secondary Branch Location,19.0,2000s,2020s,2002-08-01 to 2021-08-01,2002-08-01,2021-08-01,H
27ZH,U,VOS,Sint-Maartenscollege,Bemelerweg 1.0 ,6226ne,1,50.8479703,5.728991100000001,6226NE,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
32EA,U,VOS,Montessori College Maastricht voor Atheneum en Gymnasium,Wilhelminasingel 80.0 ,6221bl,80,50.8489778,5.7019741,6221BL,MAASTRICHT,Limburg,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,A
27ZJ,U,VOS,Bonnefantencollege,Eenhoornsingel 100.0 ,6216cw,100,50.8489843,5.663141299999999,6216CW,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
26HL,U,PROS,School voor Speciaal Voortgezet Onderwijs St Servatius,Grubbe 5.0 ,6226nj,5,50.8493295,5.7298844,6226NJ,MAASTRICHT,Limburg,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
20HB,U,VOS,Scholengemeenschap voor Lyceum Havo Mavo Sint Maartenscollege,Noormannensingel 50.0 ,6224bw,50,50.8506989,5.7079613,6224BW,MAASTRICHT,Limburg,Closed,Regular Secondary School,32.0,1970s,2000s,1973-08-01 to 2005-08-01,1973-08-01,2005-08-01,H
31XJ,U,VOS,IBBO Eldariet,Dokter van Kleefstraat 27.0 ,6217jj,27,50.85114129999999,5.6703126,6217JJ,MAASTRICHT,Limburg,Active,Regular Secondary School,2.9,2020s,,2022-02-07 to Present,2022-02-07,,H
26HL,U,PROS,School voor Speciaal Voortgezet Onderwijs Terra Nigra,Terra nigrastraat 5.0 ,6216bk,5,50.8513459,5.661688499999999,6216BK,MAASTRICHT,Limburg,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
