NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
05KQ02,D,ILOC,Wereldwijs,Galenuslaan 1.0 ,4624XE,BERGEN OP ZOOM,Noord-Brabant,Active,International Location,4.0,2020s,,2021-01-15 to Present,2021-01-15,,,
20HH01,D,ILOC,Leonardo Harderwijk,Vliepad 5.0 ,3844EL,HARDERWIJK,Gelderland,Active,International Location,4.3,2020s,,2020-10-01 to Present,2020-10-01,,,
29YC02,D,ILOC,De Madelief,Pythagorasstraat 9.0 ,6836GA,ARNHEM,Gelderland,Closed,International Location,2.0,2010s,2020s,2019-08-01 to 2021-08-01,2019-08-01,2021-08-01,,
12TL01,D,ILOC,Perspectief 10-14,Hemdijk 47.0 ,8601XJ,SNEEK,Friesland,Active,International Location,5.5,2010s,,2019-08-01 to Present,2019-08-01,,,
15ZZ01,D,ILOC,De Vuurvlinder Nieuwkomersvoorziening type 2,Diamanthorst 10.0 ,2592GH,'S-GRAVENHAGE,Zuid-Holland,Active,International Location,5.5,2010s,,2019-08-01 to Present,2019-08-01,,,
19TB01,D,ILOC,Brekeldschool-De Brug,Prins Bernhardstraat 37.0 ,7462GS,RIJSSEN,Overijssel,Active,International Location,5.5,2010s,,2019-08-01 to Present,2019-08-01,,,
19WC02,D,ILOC,Da Vinci-Berkelland,Wheemerstraat 10.0 ,7161AN,NEEDE,Gelderland,Active,International Location,5.5,2010s,,2019-08-01 to Present,2019-08-01,,,
31KY01,D,ILOC,"Stichting NTCN (NTC in de Nedersaksische grensregio), locatie Veldhausen",  ,,,,Closed,International Location,3.9,2010s,2020s,2018-09-01 to 2022-08-01,2018-09-01,2022-08-01,,
19DQ01,D,ILOC,OBS De Notenkraker,Othelloweg 8.0 ,3194GS,HOOGVLIET ROTTERDAM,Zuid-Holland,Closed,International Location,1.8,2010s,2020s,2018-08-01 to 2020-06-01,2018-08-01,2020-06-01,,
19ML03,D,ILOC,AZS De Vlieger,Deventerweg 83.0 ,3843GC,HARDERWIJK,Gelderland,Closed,International Location,2.0,2010s,2020s,2018-08-01 to 2020-08-01,2018-08-01,2020-08-01,,
18WX02,D,ILOC,De Catamaran Nieuwkomersvoorziening,Catullusweg 298.0 ,3076KH,ROTTERDAM,Zuid-Holland,Active,International Location,6.5,2010s,,2018-08-01 to Present,2018-08-01,,,
19AO03,D,ILOC,Vrijeschool Amsterdam Oost,Pieter Nieuwlandstraat 3.0 ,1093XG,AMSTERDAM,Noord-Holland,Closed,International Location,0.0,2010s,2010s,2018-04-03 to 2018-04-04,2018-04-03,2018-04-04,,
24EE01,D,ILOC,"Montessori basisschool De Poort, nieuwkomersgroepen",Kard van Rossumplein 99.0 ,6221SZ,MAASTRICHT,Limburg,Active,International Location,6.8,2010s,,2018-04-01 to Present,2018-04-01,,,
12HC01,D,ILOC,SNV De Taalvijver,Paul Rinkstraat 2.0 ,5461GS,VEGHEL,Noord-Brabant,Active,International Location,7.0,2010s,,2018-02-01 to Present,2018-02-01,,,
09YS01,D,ILOC,Schakelklassen Westland,Hoge Woerd 27.0 ,2671DH,NAALDWIJK,Zuid-Holland,Active,International Location,7.1,2010s,,2018-01-01 to Present,2018-01-01,,,
09YS01,D,ILOC,Schakelklas Westland,Burg Kampschoerstraat 5.0 ,2681AA,MONSTER,Zuid-Holland,Active,International Location,7.1,2010s,,2018-01-01 to Present,2018-01-01,,,
27PB01,D,ILOC,Optimist International School,Deltaweg 109.0 ,2134XS,HOOFDDORP,Noord-Holland,Active,International Location,7.1,2010s,,2018-01-01 to Present,2018-01-01,,,
07TJ05,D,ILOC,"Basisschool Elout, afd. Nieuwkomers",Cornelis Krusemanstraat 68.0 -70,1075NS,AMSTERDAM,Noord-Holland,Closed,International Location,5.5,2010s,2020s,2017-09-01 to 2023-03-01,2017-09-01,2023-03-01,,
13KT03,D,ILOC,International School Haarlem,Schreveliusstraat 27.0 ,2014XP,HAARLEM,Noord-Holland,Active,International Location,7.4,2010s,,2017-09-01 to Present,2017-09-01,,,
18WK02,D,ILOC,"Burgemeester De Vlugtschool, afd. Nieuwkomers",Jan de Louterstraat 21.0 ,1063KX,AMSTERDAM,Noord-Holland,Active,International Location,7.4,2010s,,2017-09-01 to Present,2017-09-01,,,
08DH01,D,ILOC,Obs Markvelde,Oude Deldensestraat 1.0 ,7478PL,DIEPENHEIM,Overijssel,Closed,International Location,1.0,2010s,2010s,2017-08-01 to 2018-08-01,2017-08-01,2018-08-01,,
16WH01,D,ILOC,Kindcentrum Vroondaal,Meppelweg 339.0 ,2544AH,'S-GRAVENHAGE,Zuid-Holland,Closed,International Location,1.0,2010s,2010s,2017-08-01 to 2018-08-01,2017-08-01,2018-08-01,,
13AO03,D,ILOC,Dr. Albert Schweitzerschool,Goudsbloemstraat 2.0 ,6871WB,RENKUM,Gelderland,Closed,International Location,2.0,2010s,2010s,2017-08-01 to 2019-08-01,2017-08-01,2019-08-01,,
14HB02,D,ILOC,De Blijberg tweetalig onderwijs,Coolhavenstraat 29.0 ,3024TD,ROTTERDAM,Zuid-Holland,Closed,International Location,2.0,2010s,2010s,2017-08-01 to 2019-08-01,2017-08-01,2019-08-01,,
19NS02,D,ILOC,De Toermalijn,Rijnstraat 15.0 ,7523GD,ENSCHEDE,Overijssel,Closed,International Location,2.0,2010s,2010s,2017-08-01 to 2019-08-01,2017-08-01,2019-08-01,,
07QW02,D,ILOC,"IKC Triade, locatie Zuid",Ophelialaan 230.0 ,1431HS,AALSMEER,Noord-Holland,Closed,International Location,2.1,2010s,2010s,2017-08-01 to 2019-08-23,2017-08-01,2019-08-23,,
16LV01,D,ILOC,Basisschool Aldoende,Kinheim 4.0 ,1161AP,ZWANENBURG,Noord-Holland,Closed,International Location,5.0,2010s,2020s,2017-08-01 to 2022-08-01,2017-08-01,2022-08-01,,
13CY02,D,ILOC,cbs Rehoboth,Koninginnelaan 46.0 ,3905GJ,VEENENDAAL,Utrecht,Closed,International Location,6.0,2010s,2020s,2017-08-01 to 2023-08-01,2017-08-01,2023-08-01,,
10JO01,D,ILOC,Basisschool Antonius,Antoniusstraat 10.0 ,5469EW,ERP,Noord-Brabant,Active,International Location,7.5,2010s,,2017-08-01 to Present,2017-08-01,,,
14LB02,D,ILOC,Annie M.G. Schmidt,Martina Kramersstraat 2.0 ,3207WB,SPIJKENISSE,Zuid-Holland,Active,International Location,7.5,2010s,,2017-08-01 to Present,2017-08-01,,,
16KJ02,D,ILOC,Openbare Vroonermeerschool,P.C.Boutensstraat 4.0 ,1822KJ,ALKMAAR,Noord-Holland,Active,International Location,7.5,2010s,,2017-08-01 to Present,2017-08-01,,,
17RX01,D,ILOC,Tuinstad Schiebroek/Terbregge,Meerum Terwogtlaan 135.0 ,3056PP,ROTTERDAM,Zuid-Holland,Active,International Location,7.5,2010s,,2017-08-01 to Present,2017-08-01,,,
