NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
09AU01,D,ILOC,AZC Lansrade,Dorpsstraat 10.0 ,6277ne,10,50.7694734,5.8617646,6277NE,SLENAKEN,Limburg,Closed,International Education Center,1.7,2010s,2010s,2015-02-01 to 2016-11-01,2015-02-01,2016-11-01,H
09AU01,D,ILOC,AZC Lansrade,Schoolstraat 16.0 ,6285bb,16,50.77463470000001,5.9140066,6285BB,EPEN,Limburg,Closed,International Education Center,1.7,2010s,2010s,2015-02-01 to 2016-11-01,2015-02-01,2016-11-01,H
03PF01,D,ILOC,bs. Bocholtz,Groeneboord 25.0 ,6351ec,25,50.82182359999999,6.004514899999999,6351EC,BOCHOLTZ,Limburg,Closed,International Education Center,19.3,1980s,2000s,1985-08-01 to 2004-11-01,1985-08-01,2004-11-01,H
21NU01,D,ILOC,Openbare Basisschool De Spiegel,Sorbonnelaan 190.0 ,6229hd,190,50.8329041,5.709274,6229HD,MAASTRICHT,Limburg,Closed,International Education Center,17.0,1980s,2000s,1987-08-01 to 2004-08-01,1987-08-01,2004-08-01,H
13FB01,D,ILOC,Praktijkonderwijs Parkstad Limburg/unit 3,Kloosterstraat 59.0 ,6369ab,59,50.8342622,5.986982999999999,6369AB,SIMPELVELD,Limburg,Closed,International Education Center,28.6,1970s,2000s,1978-08-01 to 2007-03-15,1978-08-01,2007-03-15,H
09BA01,D,ILOC,de Meridiaan loc. Kloosterstraat,Kloosterstraat 66.0 ,6369ae,66,50.8345341,5.9871154,6369AE,SIMPELVELD,Limburg,Closed,International Education Center,25.4,1980s,2010s,1985-08-01 to 2011-01-01,1985-08-01,2011-01-01,H
02KX02,D,ILOC,"St. Jozef, school voor SO/VSO-ZMOK, afdeling t Keerpunt",Pater Kustersweg 3.0 ,6267nl,3,50.83885859999999,5.747834399999999,6267NL,CADIER EN KEER,Limburg,Closed,International Education Center,107.4,1900s,2000s,1900-01-01 to 2007-06-01,1900-01-01,2007-06-01,H
10FZ01,D,ILOC,Joppenhof (internationale afdeling),Kelvinstraat 3.0 ,6227va,3,50.8402172,5.7330558,6227VA,MAASTRICHT,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
03IY01,D,ILOC,J.F. kennedy basisschool,Aureliushof 162.0 ,6215sw,162,50.84084679999999,5.6500734,6215SW,MAASTRICHT,Limburg,Closed,International Education Center,18.0,1980s,2000s,1985-08-01 to 2003-08-01,1985-08-01,2003-08-01,H
24EE01,D,ILOC,"Montessori basisschool De Poort, nieuwkomersgroepen",Kard van Rossumplein 99.0 ,6221sz,99,50.8415679,5.709670399999999,6221SZ,MAASTRICHT,Limburg,Active,International Education Center,6.8,2010s,,2018-04-01 to Present,2018-04-01,,H
27ZJ03,D,ILOC,Bonnefantencollege Centrale directie,Tongerseweg 135.0 ,6213gb,135,50.84186709999999,5.6711652,6213GB,MAASTRICHT,Limburg,Closed,International Education Center,2.0,2000s,2000s,2005-08-01 to 2007-08-01,2005-08-01,2007-08-01,H
10FZ01,D,ILOC,Joppenhof (internationale afdeling),Nijverheidsweg 25.0  A,6227al,25,50.8419064,5.720971,6227AL,MAASTRICHT,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
10FZ01,D,ILOC,Joppenhof (internationale afdeling),Nijverheidsweg 25.0  A,6227al,25,50.8427316,5.720856299999999,6227AL,MAASTRICHT,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
25KY03,D,ILOC,Trajectum College,Hunnenweg 4.0 ,6224jp,4,50.8477468,5.7132244,6224JP,MAASTRICHT,Limburg,Closed,International Education Center,6.9,1990s,2000s,1996-08-01 to 2003-06-11,1996-08-01,2003-06-11,H
25KY04,D,ILOC,Trajectum College VMBO-West,Eenhoornsingel 100.0 ,6216cw,100,50.8489843,5.663141299999999,6216CW,MAASTRICHT,Limburg,Closed,International Education Center,9.0,1990s,2000s,1996-08-01 to 2005-08-01,1996-08-01,2005-08-01,H
10LX01,D,ILOC,"OBS De Regenboog, nieuwkomersgroepen",Bergmansweg 100.0 ,6226ar,100,50.8505319,5.721787,6226AR,MAASTRICHT,Limburg,Closed,International Education Center,2.8,2010s,2010s,2015-06-01 to 2018-04-01,2015-06-01,2018-04-01,H
07WV01,D,ILOC,Basisschool Wyck groep 6 t/m 8,Sint Maartenslaan 57.0 ,6221ac,57,50.85059949999999,5.6996848,6221AC,MAASTRICHT,Limburg,Closed,International Education Center,19.0,1980s,2000s,1985-08-01 to 2004-08-01,1985-08-01,2004-08-01,H
29CW00,D,ILOC,"Kumulus, Centrum voor de Kunsten",Sint Maartenspoort 2.0 ,6221ba,2,50.8512261,5.698790499999999,6221BA,MAASTRICHT,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
22KH03,D,ILOC,Locatie Bleijerheide,Jonkerbergstraat 1.0 ,6462th,1,50.8530369,6.065075999999999,6462TH,KERKRADE,Limburg,Closed,International Education Center,30.0,1980s,2010s,1988-08-01 to 2018-08-01,1988-08-01,2018-08-01,H
00SH01,D,ILOC,"IVOO, school voor SO/VSO-ZMOK, afdeling JRK",Frans van de Laarplein 3.0 ,6217nh,3,50.8558945,5.6736602,6217NH,MAASTRICHT,Limburg,Closed,International Education Center,114.6,1900s,2010s,1900-01-01 to 2014-08-01,1900-01-01,2014-08-01,H
10FZ01,D,ILOC,United World College Maastricht Primary School,Discusworp 65.0 ,6225xp,65,50.85595439999999,5.723993,6225XP,MAASTRICHT,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
22KH03,D,ILOC,Locatie Bleijerheide,Feldbiss 210.0 A,6462hc,210,50.8567578,6.0727994,6462HC,KERKRADE,Limburg,Closed,International Education Center,30.0,1980s,2010s,1988-08-01 to 2018-08-01,1988-08-01,2018-08-01,H
22KH03,D,ILOC,Locatie Bleijerheide,Feldbiss 210.0 A,6462hc,210,50.8567578,6.072799499999999,6462HC,KERKRADE,Limburg,Closed,International Education Center,30.0,1980s,2010s,1988-08-01 to 2018-08-01,1988-08-01,2018-08-01,H
00SH01,D,ILOC,"IVOO, school voor SO/VSO-ZMOK, afdeling JRK",Zoetmanstraat 75.0 ,6217nt,75,50.8569001,5.674767699999999,6217NT,MAASTRICHT,Limburg,Closed,International Education Center,114.6,1900s,2010s,1900-01-01 to 2014-08-01,1900-01-01,2014-08-01,H
29JP00,D,ILOC,Vrije Akademie Z-O Mijnstreek,Maria Gorettistraat 6.0 ,6462xr,6,50.8583535,6.065920699999999,6462XR,KERKRADE,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
29ER00,D,ILOC,Muziekschool Kerkrade,Smedenstraat 4.0 ,6461ga,4,50.8612089,6.065910199999999,6461GA,KERKRADE,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
05HV01,D,ILOC,Dislocatie De Schakel,Anemonenstraat 10.0 ,6466sz,10,50.8616904,6.0293681,6466SZ,KERKRADE,Limburg,Closed,International Education Center,18.0,1980s,2000s,1985-08-01 to 2003-08-01,1985-08-01,2003-08-01,H
22KH04,D,ILOC,Locatie Heilust,Lupinestraat 55.0 ,6466sc,55,50.8620206,6.029813,6466SC,KERKRADE,Limburg,Closed,International Education Center,13.0,1980s,2000s,1988-08-01 to 2001-08-01,1988-08-01,2001-08-01,H
17LV01,D,ILOC,Jan Baptistschool voor SO/VSO-ZMLK,Ponjaardruwe 31.0 ,6218sj,31,50.8623527,5.649318699999999,6218SJ,MAASTRICHT,Limburg,Closed,International Education Center,1.4,2000s,2010s,2009-08-01 to 2011-01-01,2009-08-01,2011-01-01,H
04IP01,D,ILOC,Amby Dependance,Pastoor Lanckohrstraat 2.0 ,6225bg,2,50.8625911,5.7303367,6225BG,MAASTRICHT,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
16UN01,D,ILOC,basisschool 't Spoor locatie Limmel,Sareptaplein 1.0 ,6222ee,1,50.8634071,5.7044584,6222EE,MAASTRICHT,Limburg,Closed,International Education Center,31.0,1980s,2010s,1985-08-01 to 2016-08-01,1985-08-01,2016-08-01,H
08UC01,D,ILOC,"Dependance OBS Elckerlijc, locatie Boschpoort",Pastoor Moormanstraat 96.0 ,6219ax,96,50.8636608,5.689343399999999,6219AX,MAASTRICHT,Limburg,Closed,International Education Center,25.0,1980s,2010s,1985-08-01 to 2010-08-01,1985-08-01,2010-08-01,H
16UN01,D,ILOC,basisschool 't Spoor locatie Limmel,Askalonstraat 65.0 ,6222cw,65,50.86406119999999,5.7057316,6222CW,MAASTRICHT,Limburg,Closed,International Education Center,31.0,1980s,2010s,1985-08-01 to 2016-08-01,1985-08-01,2016-08-01,H
04IP02,D,ILOC,Amby locatie Jan Petersstraat,Koninginnestraat 2.0 a,6225br,2,50.8653596,5.729494700000001,6225BR,MAASTRICHT,Limburg,Closed,International Education Center,23.0,1980s,2000s,1985-08-01 to 2008-08-01,1985-08-01,2008-08-01,H
15VZ02,D,ILOC,Dislocatie De Windwijzer II,Vullingsweg 167.0 ,6418hs,167,50.8656055,6.0077812,6418HS,HEERLEN,Limburg,Closed,International Education Center,24.4,1980s,2010s,1985-08-01 to 2010-01-01,1985-08-01,2010-01-01,H
15VZ01,D,ILOC,Dislocatie De Windwijzer I,Jerichostraat 41.0 ,6418et,41,50.8660659,6.0070802,6418ET,HEERLEN,Limburg,Closed,International Education Center,29.0,1980s,2010s,1985-08-01 to 2014-08-01,1985-08-01,2014-08-01,H
11LL01,D,ILOC,"basisschool De Vlieger, loc. AZC-school",Gaffelhof 73.0 ,6418kc,73,50.8677219,6.0134867,6418KC,HEERLEN,Limburg,Active,International Education Center,10.5,2010s,,2014-08-01 to Present,2014-08-01,,H
21SG02,D,ILOC,"De Zonnewijzer, afdeling Auti",Dr Clemens Meulemanstr 6.0 ,6418pd,6,50.8691798,5.9953635,6418PD,HEERLEN,Limburg,Closed,International Education Center,23.4,1980s,2010s,1987-08-01 to 2011-01-01,1987-08-01,2011-01-01,H
15VZ03,D,ILOC,Dislocatie De Windwijzer III,Dr Clemens Meulemanstr 4.0 ,6418pd,4,50.8696181,5.995779,6418PD,HEERLEN,Limburg,Closed,International Education Center,21.0,1980s,2000s,1985-08-01 to 2006-08-01,1985-08-01,2006-08-01,H
14VR01,D,ILOC,"Franciscusoord, Mytylschool voor VSO-LG/MG",Onderstestraat 29.0 ,6301ka,29,50.8702846,5.7931209,6301KA,VALKENBURG LB,Limburg,Closed,International Education Center,112.0,1900s,2010s,1900-01-01 to 2012-01-01,1900-01-01,2012-01-01,H
18MR01,D,ILOC,Dislocatie obs. de Tovercirkel,Benzenraderweg 270.0 ,6417sz,270,50.871577,5.9795203,6417SZ,HEERLEN,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
08MW01,D,ILOC,Dislocatie de Veldblom 2,Directeur Geurtsstraat 9.0 ,6463vl,9,50.8727908,6.0712913,6463VL,KERKRADE,Limburg,Closed,International Education Center,19.2,1980s,2000s,1985-08-01 to 2004-10-12,1985-08-01,2004-10-12,H
08MW02,D,ILOC,dislocatie de Veldblom 1,Colenstraat 2.0 ,6463bv,2,50.8733941,6.0641487,6463BV,KERKRADE,Limburg,Closed,International Education Center,24.0,1980s,2000s,1985-08-01 to 2009-08-01,1985-08-01,2009-08-01,H
20TO01,D,ILOC,Dependance R.K. Basisschool Gravenrode,De Wendelstraat 55.0 ,6372vv,55,50.8780633,6.013455599999999,6372VV,LANDGRAAF,Limburg,Closed,International Education Center,19.0,1980s,2000s,1985-08-01 to 2004-08-01,1985-08-01,2004-08-01,H
16VM05,D,ILOC,Herle College,Bekkerveld 4.0 ,6417cl,4,50.8786839,5.983198799999999,6417CL,HEERLEN,Limburg,Closed,International Education Center,41.6,1960s,2000s,1962-01-01 to 2003-08-01,1962-01-01,2003-08-01,H
09LW01,D,ILOC,Dislocatie De Blokkenberg,Vincent van Goghplein 1.0 ,6464ch,1,50.8797904,6.0787241,6464CH,KERKRADE,Limburg,Closed,International Education Center,26.0,1980s,2010s,1985-08-01 to 2011-08-01,1985-08-01,2011-08-01,H
12IJ02,D,ILOC,"OBS Hoensbroeck, loc. Alineos",Oude Lindestraat 37.0 ,6411eh,37,50.881575,5.977773699999999,6411EH,HEERLEN,Limburg,Closed,International Education Center,21.2,1980s,2000s,1985-08-01 to 2006-10-01,1985-08-01,2006-10-01,H
29CG00,D,ILOC,Hee-Art,Rector Driessenweg 6.0 ,6411gz,6,50.8863759,5.984215499999999,6411GZ,HEERLEN,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
