NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00AH14,D,ILOC,higher,international,Het Stedelijk Lyceum (Centrale Directie),Buurserstraat 250.0 ,7544RG,ENSCHEDE,Overijssel,1975-08-01,2013-08-01,False,H,ILOC,D,International Location,Historical,38.0
00AH15,D,ILOC,higher,international,Stedelijk Lyceum ´Het Zwering´,Jan Vermeerstraat 49.0 ,7545BN,ENSCHEDE,Overijssel,1975-08-01,2008-08-01,False,H,ILOC,D,International Location,Historical,33.0
00AH16,D,ILOC,higher,international,Stedelijk Lyceum ´De Wissel´,Wethouder Nijhuisstraat 70.0 ,7545NK,ENSCHEDE,Overijssel,1975-08-01,2008-01-29,False,H,ILOC,D,International Location,Historical,32.5
00AO03,D,ILOC,higher,international,De Bolster,Loolaan 69.0 ,7314AH,APELDOORN,Gelderland,1984-08-01,2009-08-01,False,H,ILOC,D,International Location,Historical,25.0
00AR01,D,ILOC,higher,international,BS De Maasparel (locatie Ohe en Laak),Kerkstraat 5.0 ,6109AM,OHE EN LAAK,Limburg,2009-08-01,2015-01-01,False,H,ILOC,D,International Location,Historical,5.4
00AR01,D,ILOC,higher,international,"Basisschool De Maasparel, locatie Ohe en Laak",Kerkstraat 5.0 ,6109AM,OHE EN LAAK,Limburg,2009-08-01,2015-01-01,False,H,ILOC,D,International Location,Historical,5.4
00AZ01,D,ILOC,higher,international,Openbare Basisschool De Overstap,Kerkweg 10.0 ,2974LH,BRANDWIJK,Zuid-Holland,2014-08-01,2016-08-01,False,H,ILOC,D,International Location,Historical,2.0
00BH,U,HBOS,higher,main,Rijkshogeschool Ijselland,Handelskade 75.0 ,7417DH,DEVENTER,Overijssel,1986-08-01,2011-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,25.1
00BH,U,HBOS,higher,main,Hogeschool IJselland,Handelskade 75.0 ,7417DH,DEVENTER,Overijssel,1986-08-01,2011-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,25.1
00BH,U,HBOS,higher,main,Saxion Hogeschool Deventer,Handelskade 75.0 ,7417DH,DEVENTER,Overijssel,1986-08-01,2011-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,25.1
