NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00AH,U,VOS,secondary,main,Opb Sgm V Ath Havo Mavo Vbo Ivbo T Stedelyk Lyc,Boddenkampsingel 80.0 ,7514AR,ENSCHEDE,Overijssel,1975-08-01,,True,H,VOS,U,Regular Secondary School,Active,49.5
00AH,U,VOS,secondary,main,Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo,Boddenkampsingel 80.0 ,7514AR,ENSCHEDE,Overijssel,1975-08-01,,True,H,VOS,U,Regular Secondary School,Active,49.5
00AH,U,VOS,secondary,main,Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo,Lyceumlaan 30.0 ,7522GK,ENSCHEDE,Overijssel,1975-08-01,,True,H,VOS,U,Regular Secondary School,Active,49.5
00AH,U,VOS,secondary,main,"Het Stedelijk Kottenpark praktijkonderwijs, vmbo, havo, atheneum en gymnasium",Lyceumlaan 30.0 ,7522GK,ENSCHEDE,Overijssel,1975-08-01,,True,A,VOS,U,Regular Secondary School,Active,49.5
00AQ,U,VOS,secondary,main,Zwin College Scholengemeenschap voor Lyceum Havo Mavo Vbo,Nieuwstraat 50.0 ,4501BE,OOSTBURG,Zeeland,1985-08-01,,True,H,VOS,U,Regular Secondary School,Active,39.5
00AQ,U,VOS,secondary,main,Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium,Nieuwstraat 50.0 ,4501BE,OOSTBURG,Zeeland,1985-08-01,,True,H,VOS,U,Regular Secondary School,Active,39.5
00AQ,U,VOS,secondary,main,Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium,Nieuwstraat 50.0 ,4501BE,OOSTBURG,Zeeland,1985-08-01,,True,A,VOS,U,Regular Secondary School,Active,39.5
00BD,U,VOS,secondary,main,Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,Dreef 6.0 ,2741SR,WADDINXVEEN,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00BD,U,VOS,secondary,main,Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,Dreef 2.0 ,2741SR,WADDINXVEEN,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00BD,U,VOS,secondary,main,Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,Dreef 2.0 -6,2741SR,WADDINXVEEN,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00BD,U,VOS,secondary,main,Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,Oude Dreef 6.0 ,2741ST,WADDINXVEEN,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00BD,U,VOS,secondary,main,Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,Oude Dreef 2.0 ,2741ST,WADDINXVEEN,Zuid-Holland,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00CB,U,VOS,secondary,main,Karel De Grote College Region Vrije School Mavo,Wilhelminasingel 13.0 -15,6524AJ,NIJMEGEN,Gelderland,1986-08-01,,True,H,VOS,U,Regular Secondary School,Active,38.5
00CB,U,VOS,secondary,main,Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs,Wilhelminasingel 13.0 -15,6524AJ,NIJMEGEN,Gelderland,1986-08-01,,True,H,VOS,U,Regular Secondary School,Active,38.5
00CB,U,VOS,secondary,main,Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs,Wilhelminasingel 13.0 -15,6524AJ,NIJMEGEN,Gelderland,1986-08-01,,True,A,VOS,U,Regular Secondary School,Active,38.5
