NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,postcode_cleaned,location_type,function_type,temporal_status
05KQ02,D,ILOC,vocational,international,Wereldwijs,Galenuslaan 1.0 ,4624XE,BERGEN OP ZOOM,Noord-Brabant,2021-01-15,,True,H,4624xe,ILOC,D,Active
20HH01,D,ILOC,vocational,international,Leonardo Harderwijk,Vliepad 5.0 ,3844EL,HARDERWIJK,Gelderland,2020-10-01,,True,H,3844el,ILOC,D,Active
29YC02,D,ILOC,vocational,international,De Madelief,Pythagorasstraat 9.0 ,6836GA,ARNHEM,Gelderland,2019-08-01,2021-08-01,False,H,6836ga,ILOC,D,Historical
12TL01,D,ILOC,vocational,international,Perspectief 10-14,Hemdijk 47.0 ,8601XJ,SNEEK,Friesland,2019-08-01,,True,H,8601xj,ILOC,D,Active
15ZZ01,D,ILOC,vocational,international,De Vuurvlinder Nieuwkomersvoorziening type 2,Diamanthorst 10.0 ,2592GH,'S-GRAVENHAGE,Zuid-Holland,2019-08-01,,True,H,2592gh,ILOC,D,Active
19TB01,D,ILOC,vocational,international,Brekeldschool-De Brug,Prins Bernhardstraat 37.0 ,7462GS,RIJSSEN,Overijssel,2019-08-01,,True,H,7462gs,ILOC,D,Active
19WC02,D,ILOC,vocational,international,Da Vinci-Berkelland,Wheemerstraat 10.0 ,7161AN,NEEDE,Gelderland,2019-08-01,,True,A,7161an,ILOC,D,Active
31KY01,D,ILOC,vocational,international,"Stichting NTCN (NTC in de Nedersaksische grensregio), locatie Veldhausen",  ,,,,2018-09-01,2022-08-01,False,A,nan,ILOC,D,Historical
19DQ01,D,ILOC,vocational,international,OBS De Notenkraker,Othelloweg 8.0 ,3194GS,HOOGVLIET ROTTERDAM,Zuid-Holland,2018-08-01,2020-06-01,False,H,3194gs,ILOC,D,Historical
19ML03,D,ILOC,vocational,international,AZS De Vlieger,Deventerweg 83.0 ,3843GC,HARDERWIJK,Gelderland,2018-08-01,2020-08-01,False,H,3843gc,ILOC,D,Historical
18WX02,D,ILOC,vocational,international,De Catamaran Nieuwkomersvoorziening,Catullusweg 298.0 ,3076KH,ROTTERDAM,Zuid-Holland,2018-08-01,,True,H,3076kh,ILOC,D,Active
19AO03,D,ILOC,vocational,international,Vrijeschool Amsterdam Oost,Pieter Nieuwlandstraat 3.0 ,1093XG,AMSTERDAM,Noord-Holland,2018-04-03,2018-04-04,False,H,1093xg,ILOC,D,Historical
24EE01,D,ILOC,vocational,international,"Montessori basisschool De Poort, nieuwkomersgroepen",Kard van Rossumplein 99.0 ,6221SZ,MAASTRICHT,Limburg,2018-04-01,,True,H,6221sz,ILOC,D,Active
12HC01,D,ILOC,vocational,international,SNV De Taalvijver,Paul Rinkstraat 2.0 ,5461GS,VEGHEL,Noord-Brabant,2018-02-01,,True,H,5461gs,ILOC,D,Active
09YS01,D,ILOC,vocational,international,Schakelklassen Westland,Hoge Woerd 27.0 ,2671DH,NAALDWIJK,Zuid-Holland,2018-01-01,,True,H,2671dh,ILOC,D,Active
09YS01,D,ILOC,vocational,international,Schakelklas Westland,Burg Kampschoerstraat 5.0 ,2681AA,MONSTER,Zuid-Holland,2018-01-01,,True,H,2681aa,ILOC,D,Active
27PB01,D,ILOC,vocational,international,Optimist International School,Deltaweg 109.0 ,2134XS,HOOFDDORP,Noord-Holland,2018-01-01,,True,H,2134xs,ILOC,D,Active
07TJ05,D,ILOC,vocational,international,"Basisschool Elout, afd. Nieuwkomers",Cornelis Krusemanstraat 68.0 -70,1075NS,AMSTERDAM,Noord-Holland,2017-09-01,2023-03-01,False,H,1075ns,ILOC,D,Historical
13KT03,D,ILOC,vocational,international,International School Haarlem,Schreveliusstraat 27.0 ,2014XP,HAARLEM,Noord-Holland,2017-09-01,,True,H,2014xp,ILOC,D,Active
18WK02,D,ILOC,vocational,international,"Burgemeester De Vlugtschool, afd. Nieuwkomers",Jan de Louterstraat 21.0 ,1063KX,AMSTERDAM,Noord-Holland,2017-09-01,,True,H,1063kx,ILOC,D,Active
08DH01,D,ILOC,vocational,international,Obs Markvelde,Oude Deldensestraat 1.0 ,7478PL,DIEPENHEIM,Overijssel,2017-08-01,2018-08-01,False,H,7478pl,ILOC,D,Historical
16WH01,D,ILOC,vocational,international,Kindcentrum Vroondaal,Meppelweg 339.0 ,2544AH,'S-GRAVENHAGE,Zuid-Holland,2017-08-01,2018-08-01,False,H,2544ah,ILOC,D,Historical
13AO03,D,ILOC,vocational,international,Dr. Albert Schweitzerschool,Goudsbloemstraat 2.0 ,6871WB,RENKUM,Gelderland,2017-08-01,2019-08-01,False,H,6871wb,ILOC,D,Historical
14HB02,D,ILOC,vocational,international,De Blijberg tweetalig onderwijs,Coolhavenstraat 29.0 ,3024TD,ROTTERDAM,Zuid-Holland,2017-08-01,2019-08-01,False,H,3024td,ILOC,D,Historical
19NS02,D,ILOC,vocational,international,De Toermalijn,Rijnstraat 15.0 ,7523GD,ENSCHEDE,Overijssel,2017-08-01,2019-08-01,False,A,7523gd,ILOC,D,Historical
07QW02,D,ILOC,vocational,international,"IKC Triade, locatie Zuid",Ophelialaan 230.0 ,1431HS,AALSMEER,Noord-Holland,2017-08-01,2019-08-23,False,H,1431hs,ILOC,D,Historical
16LV01,D,ILOC,vocational,international,Basisschool Aldoende,Kinheim 4.0 ,1161AP,ZWANENBURG,Noord-Holland,2017-08-01,2022-08-01,False,H,1161ap,ILOC,D,Historical
13CY02,D,ILOC,vocational,international,cbs Rehoboth,Koninginnelaan 46.0 ,3905GJ,VEENENDAAL,Utrecht,2017-08-01,2023-08-01,False,H,3905gj,ILOC,D,Historical
10JO01,D,ILOC,vocational,international,Basisschool Antonius,Antoniusstraat 10.0 ,5469EW,ERP,Noord-Brabant,2017-08-01,,True,H,5469ew,ILOC,D,Active
14LB02,D,ILOC,vocational,international,Annie M.G. Schmidt,Martina Kramersstraat 2.0 ,3207WB,SPIJKENISSE,Zuid-Holland,2017-08-01,,True,H,3207wb,ILOC,D,Active
16KJ02,D,ILOC,vocational,international,Openbare Vroonermeerschool,P.C.Boutensstraat 4.0 ,1822KJ,ALKMAAR,Noord-Holland,2017-08-01,,True,H,1822kj,ILOC,D,Active
17RX01,D,ILOC,vocational,international,Tuinstad Schiebroek/Terbregge,Meerum Terwogtlaan 135.0 ,3056PP,ROTTERDAM,Zuid-Holland,2017-08-01,,True,H,3056pp,ILOC,D,Active
20SL02,D,ILOC,vocational,international,De Ontplooiing,August Allebeplein 7.0 ,1062AA,AMSTERDAM,Noord-Holland,2017-08-01,,True,H,1062aa,ILOC,D,Active
20SL02,D,ILOC,vocational,international,Spring High Go,Herman Poortstraat 17.0 ,1064BR,AMSTERDAM,Noord-Holland,2017-08-01,,True,A,1064br,ILOC,D,Active
29XG01,D,ILOC,vocational,international,Rivers International School Arnhem,Parnassusstraat 20.0 ,6846RB,ARNHEM,Gelderland,2017-08-01,,True,H,6846rb,ILOC,D,Active
06YH01,D,ILOC,vocational,international,De Tovertuin Schakelklassen,Burg. Corbeijstraat 58.0 ,6137XT,SITTARD,Limburg,2017-07-15,2019-08-01,False,H,6137xt,ILOC,D,Historical
30RH01,D,ILOC,vocational,international,Cbs Aquamarijn locatie Reitdiep,Slenk 2.0 ,9746RS,GRONINGEN,Groningen,2017-05-01,2023-08-01,False,H,9746rs,ILOC,D,Historical
15NJ02,D,ILOC,vocational,international,Woutertje van Leyden,Houtmarkt 36.0 ,2312PZ,LEIDEN,Zuid-Holland,2017-01-01,,True,H,2312pz,ILOC,D,Active
20ZT01,D,ILOC,vocational,international,"Het Vogelnest, afd. Nieuwkomers",Mussenstraat 26.0 ,1021CS,AMSTERDAM,Noord-Holland,2016-10-24,2022-08-01,False,H,1021cs,ILOC,D,Historical
12WB01,D,ILOC,vocational,international,De Bazaar,Lange Kleiweg 72.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,2016-10-05,2022-05-22,False,H,2288gk,ILOC,D,Historical
09TI01,D,ILOC,vocational,international,Basisschool Sprankel,Welemanstraat 23.0 ,7622HB,BORNE,Overijssel,2016-10-01,,True,H,7622hb,ILOC,D,Active
20VP02,D,ILOC,vocational,international,School of Understanding Amsterdam-West,Potgieterstraat 34.0 ,1053XX,AMSTERDAM,Noord-Holland,2016-08-29,2023-09-01,False,H,1053xx,ILOC,D,Historical
20VP02,D,ILOC,vocational,international,School of Understanding Amsterdam-West,Orteliusstraat 28.0 ,1057BB,AMSTERDAM,Noord-Holland,2016-08-29,2023-09-01,False,H,1057bb,ILOC,D,Historical
