Onderwijssector,education_sector,education_type,Onderwijstype,Opleidingscode,Naam,Omschrijving,Begindatum,Einddatum,is_active,Niveau,Leerweg
MBO,vocational,,BBO (pre-CREBO),0001,Timmerkracht,Timmerkracht,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0002,Betonmodelmaker,Betonmodelmaker,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0003,Betontimmerkracht,Betontimmerkracht,1983-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0004,Betonstaalvlechter,Betonstaalvlechter,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0005,Natuursteenbewerker,Natuursteenbewerker,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0006,Ovenbouwmetselaar,Ovenbouwmetselaar,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0007,Metselaar,Metselaar,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0008,Tegelzetter,Tegelzetter,1982-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0009,Voeger,Voeger,1984-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0012,Naaister i/d tricotindus,Naaister in de tricotindustrie,1957-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0022,Maatkleding (kleinwerk),Maatkleding (kleinwerk),1957-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0027,Ber v banketprod i/e fabr,Bereiden van banketproducten in een fabriek,1965-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0028,Ber v brood i/e fabriek,Bereiden van brood in een fabriek,1965-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0029,2e banketbakkersbediende,Tweede banketbakkersbediende,1973-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0030,Chocoladebereider &-verw,Chocoladebereider en-verwerker,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0031,Suikerwerkbereider,Suikerwerkbereider,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0039,Luxe brood/banketbakker,Luxe brood/banketbakker,1978-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0040,1e banketbakkersbediende,Eerste banketbakkersbediende,1973-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0041,Spec i/h banketbakkersbed,Specialist in het banketbakkersbedrijf,1976-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0058,Mont elek vliegtuiginstal,Monteur elektrische vliegtuiginstallaties,1976-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0060,Monteur telecommunicaties,Monteur telecommunicaties,1983-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0062,Monteur elek railvoert,Monteur elektrische railvoertuigen,1983-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0071,Ass mont elektron montage,Assistent monteur elektronische montage,1984-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0072,1e mont laagspanningsnet,Eerste monteur laagspanningsnetten,1979-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0073,1e mont elek best install,Eerste monteur elektrische besturingsinstallaties,1980-01-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0074,1e mont elektro best inst,Eerste monteur elektronische besturingsinstallaties,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0075,1e mont hoogspanninsinst,Eerste monteur hoogspanningsinstallaties,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0078,Dameskapper/dameskapster,Dameskapper/dameskapster,1978-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0079,Herenkapper,Herenkapper,1983-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0080,Kapster/beautynette,Kapster/beautynette,1980-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0081,Gereedsch sl i/d hout- en,Gereedschapsslijper in de hout- en kunststofbewerking,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0082,Machinaal houtbewerker,Machinaal houtbewerker,1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0087,Houten jacht-en botenbouw,Houten jacht- en botenbouwer,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0088,Meubelmkr i/d scheepsbeti,Meubelmaker in de scheepsbetimmeringen,1981-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0093,Rietmeubelmaken,Rietmeubelmaken,1961-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0094,Mach bed houtind (versp),Machinebediende houtindustrie (verspanende machines),1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0095,Mach bed houtind (n-vers),Machinebediende houtindustrie (niet-verspanende machines),1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0097,Gereedsch sl i/d hout- en,Gereedschapslijper in de hout- en kunststofbewerking,1984-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0098,Machinaal houtbewerker,Machinaal houtbewerker,1979-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0103,Kaderfunct houtindustrie,Kaderfunctionaris houtindustrie,1982-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0105,Installatietekenaar W,Installatietekenaar W,1982-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0110,Ass installatietechnicus,Assistent installatietechnicus,1979-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0113,Centr verwarmingsmonteur,Centrale verwarmingsmonteur,1978-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0114,Servicetechnicus CV,Servicetechnicus centrale verwarming,1983-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0115,Servicetechnicus luchtbeh,Servicetechnicus luchtbehandeling,1983-08-01,1999-08-01,False,Z,
