NR_ADMIN_VAN,CODE_FUNCTIE_VAN,CODE_SOORT_VAN,CODE_WET_VAN,NR_ADMIN_NAAR,CODE_FUNCTIE_NAAR,CODE_SOORT_NAAR,CODE_WET_NAAR,DT_OVERGANG,CODE_OVERGANG,NAAM_OVERGANG,IND_VOLLEDIG,CODE_STAND_RECORD
"00AE","O","SBD","WSLOA","01WI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00AE","O","SBD","WSLOA","01XM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00AM","O","SBD","WSLOA","01WO","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00AN","O","SBD","WSLOA","01WI","O","SBD","WSLOA",1-1-2005,"F","Fusie","J","H"
"00BA","U","BAS","WPO","10OV","U","BAS","WPO",1-8-2020,"F","Fusie","J","H"
"00BA00","D","VST","WPO","10OV00","D","VST","WPO",1-8-2020,"F","Fusie","J","H"
"00BD03","D","VST","WVO","00BD00","D","VST","WVO",1-8-2007,"V","Overdracht","J","H"
"00BE","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00BG","O","SBD","WSLOA","03AV","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00BH","U","HBOS","WHW","23AH","U","HBOS","WHW",1-9-2011,"F","Fusie","J","H"
"00BH00","D","LOC","WHW","23AH00","D","LOC","WHW",1-9-2011,"F","Fusie","J","H"
"00BI","O","SBD","WSLOA","01UZ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00BI","O","SBD","WSLOA","01WF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00BI","O","SBD","WSLOA","25BU","O","SBD","WSLOA",1-1-2010,"F","Fusie","J","H"
"00BJ","O","SBD","WSLOA","01WK","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00BM","U","UNIV","WHW","21PN","U","UNIV","WHW",1-7-2006,"F","Fusie","J","H"
"00BM00","D","LOC","WHW","21PN00","D","LOC","WHW",1-7-2006,"F","Fusie","J","H"
"00CC","U","VOS","WVO","13OR","U","VOS","WVO",1-8-1999,"F","Fusie","N","H"
"00CC00","D","VST","WVO","13OR03","D","VSTS","WVO",1-8-1999,"F","Fusie","N","H"
"00CF","U","SBAS","WPO","01ZA","U","SBAS","WPO",1-8-1999,"F","Fusie","N","H"
"00CF00","D","VST","WPO","01ZA02","D","VST","WPO",1-8-1999,"F","Fusie","N","H"
"00CH","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2006,"V","Overdracht","J","H"
"00CJ","O","SBD","WSLOA","00RM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00AI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00BF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00FA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00IX","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00IY","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","00RM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","01UZ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","01VA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","01WF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","01WK","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","01XM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","03AV","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","03DP","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","25BU","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00CP","O","SBD","WSLOA","27VV","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DA","U","BAS","WPO","12RF","U","BAS","WPO",1-8-2023,"F","Fusie","J","H"
"00DA00","D","VST","WPO","12RF00","D","VST","WPO",1-8-2023,"F","Fusie","J","H"
"00DH","U","VOS","WVO","13PE","U","VOS","WVO",1-8-1997,"F","Fusie","N","H"
"00DT","O","SBD","WSLOA","03AV","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00BF","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00BI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00CH","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00ET","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00FY","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00IX","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00IY","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","00RM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","01UZ","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","01VA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","01WO","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","01XM","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00DU","O","SBD","WSLOA","25BU","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00ET","O","SBD","WSLOA","01WI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00EZ","O","SBD","WSLOA","00BI","O","SBD","WSLOA",1-1-2000,"F","Fusie","N","H"
"00FA","O","SBD","WSLOA","01WI","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00FA","O","SBD","WSLOA","01WK","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00FA","O","SBD","WSLOA","27QA","O","SBD","WSLOA",1-8-2005,"V","Overdracht","N","H"
"00FC","U","SPEC","WEC","02TL","U","SBAS","WPO",1-7-1998,"F","Fusie","N","H"
"00FC00","D","VST","WEC","02TL01","D","VST","WPO",1-7-1998,"F","Fusie","N","H"
"00FF","U","BAS","WPO","08JH","U","BAS","WPO",1-8-2009,"F","Fusie","J","H"
